reporting_period,product_name,revenue_at_historical_price
2024-03,Paper Boat Mango Juice 250g,26375.36
2024-03,Paper Boat Mango Juice 2L,14362.83
2024-03,Paper Boat Mango Juice 600ml,22500.72
2024-03,Paper Boat Mineral Water 1L,57141.51
2024-03,Paper Boat Mineral Water 250g,43938.03
2024-03,Paper Boat Mineral Water 2L,60796.41
2024-03,Paper Boat Tea Leaf 1L,1652.40
2024-03,Paper Boat Tea Leaf 2L,26359.68
2024-03,Paper Boat Tea Leaf 500g,6604.40
2024-03,Paper Boat Tea Leaf 600ml,12875.46
2024-03,Parle Cookies 100g,11745.22
2024-03,Parle Cookies 150g,11241.42
2024-03,Parle Cookies 60g,17780.42
2024-03,Parle Cream Biscuit 150g,10011.75
2024-03,Parle Cream Biscuit 250g,2750.25
2024-03,Parle Cream Biscuit 60g,3219.86
2024-03,Parle Glucose Biscuit 150g,14068.44
2024-03,Parle Marie Gold 100g,8411.90
2024-03,Parle Marie Gold 60g,19352.41
2024-03,Parle Namkeen Mix 60g,10855.57
2024-03,Patanjali Bathing Soap 100g,36810.72
2024-03,Patanjali Body Lotion 100g,19777.45
2024-03,Patanjali Body Lotion 180ml,10711.30
2024-03,Patanjali Body Lotion 75g,35286.24
2024-03,Patanjali Face Wash 180ml,174007.26
2024-03,Patanjali Face Wash 340ml,29034.00
2024-03,Patanjali Hair Oil 100g,67168.94
2024-03,Patanjali Hair Oil 340ml,48113.60
2024-03,Patanjali Hair Oil 75g,33304.71
2024-03,Patanjali Toothpaste 75g,15480.06
2024-03,Perfetti Candy Pack 25g,18857.61
2024-03,Perfetti Candy Pack 50g,21687.66
2024-03,Perfetti Candy Pack Pack of 10,37571.88
2024-03,Perfetti Chewing Gum 100g,22726.08
2024-03,Perfetti Chewing Gum 25g,2868.36
2024-03,Perfetti Dark Chocolate 100g,11178.18
2024-03,Perfetti Dark Chocolate 25g,35065.51
2024-03,Perfetti Dark Chocolate 50g,25241.50
2024-03,Perfetti Dark Chocolate Pack of 10,18357.80
2024-03,Perfetti Milk Chocolate 100g,5345.20
2024-03,Perfetti Milk Chocolate 25g,26454.75
2024-03,Perfetti Milk Chocolate 50g,26160.22
2024-03,Perfetti Milk Chocolate Pack of 10,28065.95
2024-03,Real Cola 1L,15800.28
2024-03,Real Cola 250g,43469.39
2024-03,Real Instant Coffee 2L,26762.40
2024-03,Real Instant Coffee 500g,20784.03
2024-03,Real Instant Coffee 600ml,45939.52
2024-03,Real Mango Juice 1L,45293.16
2024-03,Real Mango Juice 2L,53222.85
2024-03,Real Mango Juice 500g,27592.32
2024-03,Real Mineral Water 1L,42928.12
2024-03,Real Mineral Water 600ml,39638.70
2024-03,Real Soda 600ml,16835.28
2024-03,Real Tea Leaf 1L,16278.10
2024-03,Real Tea Leaf 2L,18598.68
2024-03,Real Tea Leaf 600ml,16873.65
2024-03,Safal Apple 1kg,83945.30
2024-03,Safal Apple 500g,29100.32
2024-03,Safal Banana 1kg,9476.50
2024-03,Safal Banana 500g,21451.70
2024-03,Safal Banana Loose,63128.08
2024-03,Safal Carrot 500g,14893.88
2024-03,Safal Carrot Loose,34078.66
2024-03,Safal Onion 500g,34796.70
2024-03,Safal Onion Loose,29762.52
2024-03,Safal Potato 1kg,14765.61
2024-03,Safal Potato 500g,1742.69
2024-03,Safal Tomato Loose,16883.72
2024-03,Saffola Groundnut Oil 1L,103653.00
2024-03,Saffola Mustard Oil 1L,62240.10
2024-03,Saffola Mustard Oil 2L,325327.46
2024-03,Saffola Rice Bran Oil 2L,47890.15
2024-03,Saffola Rice Bran Oil 5L,338851.10
2024-03,Saffola Sunflower Oil 2L,89733.40
2024-03,Saffola Sunflower Oil 5L,183595.41
2024-03,Sumeru French Fries 1kg,21809.00
2024-03,Sumeru French Fries 400g,88971.89
2024-03,Sumeru Frozen Peas 1kg,113745.10
2024-03,Sumeru Frozen Peas 200g,120033.97
2024-03,Sumeru Frozen Peas 400g,35589.99
2024-03,Sumeru Idli Batter 400g,65878.11
2024-03,Sumeru Ready Paratha 1kg,115987.42
2024-03,Sumeru Ready Paratha 200g,14927.28
2024-03,Sumeru Ready Paratha 400g,28030.94
2024-03,Sundrop Groundnut Oil 1L,241980.79
2024-03,Sundrop Groundnut Oil 2L,357097.88
2024-03,Sundrop Mustard Oil 1L,126281.31
2024-03,Sundrop Mustard Oil 2L,67345.92
2024-03,Sundrop Mustard Oil 5L,81998.50
2024-03,Sundrop Rice Bran Oil 1L,78914.98
2024-03,Sundrop Rice Bran Oil 2L,82365.91
2024-03,Sundrop Rice Bran Oil 5L,403868.24
2024-03,Sundrop Sunflower Oil 1L,148619.22
2024-03,Sundrop Sunflower Oil 2L,87848.55
2024-03,Sundrop Sunflower Oil 5L,26212.62
2024-03,Sunfeast Cookies 150g,5602.55
2024-03,Sunfeast Cookies 400g,9009.99
2024-03,Sunfeast Cookies 60g,6934.94
2024-03,Sunfeast Cream Biscuit 150g,23834.66
2024-03,Sunfeast Glucose Biscuit 150g,7240.45
2024-03,Sunfeast Glucose Biscuit 250g,8461.85
2024-03,Sunfeast Khakhra 150g,10695.00
2024-03,Sunfeast Khakhra 250g,8568.92
2024-03,Sunfeast Khakhra 400g,8875.20
2024-03,Sunfeast Marie Gold 100g,20556.92
2024-03,Sunfeast Marie Gold 150g,8525.76
2024-03,Sunfeast Marie Gold 400g,4899.40
2024-03,Sunfeast Marie Gold 60g,2830.96
2024-03,Sunfeast Namkeen Mix 250g,8654.18
2024-03,Sunfeast Namkeen Mix 400g,4682.86
2024-03,Sunfeast Namkeen Mix 60g,7165.95
2024-03,Surf Excel Fabric Conditioner 500g,78780.56
2024-03,Surf Excel Fabric Conditioner 500ml,99770.72
2024-03,Surf Excel Floor Cleaner 1kg,7044.84
2024-03,Surf Excel Floor Cleaner 200g,66139.86
2024-03,Surf Excel Floor Cleaner 500g,44614.25
2024-03,Surf Excel Floor Cleaner 500ml,25551.46
2024-03,Surf Excel Toilet Cleaner 1kg,46817.28
2024-03,Surf Excel Toilet Cleaner 500g,44862.88
2024-03,Tata Tea Cola 1L,15758.40
2024-03,Tata Tea Cola 2L,8834.07
2024-03,Tata Tea Instant Coffee 2L,67340.31
2024-03,Tata Tea Mango Juice 2L,29356.70
2024-03,Tata Tea Mineral Water 2L,24871.20
2024-03,Tata Tea Soda 1L,29519.60
2024-03,Tata Tea Soda 500g,32563.65
2024-03,Tata Tea Tea Leaf 600ml,10697.28
2024-03,Thums Up Cola 250g,41506.75
2024-03,Thums Up Cola 600ml,53561.97
2024-03,Thums Up Instant Coffee 500g,24808.00
2024-03,Thums Up Instant Coffee 600ml,12307.73
2024-03,Thums Up Mango Juice 250g,11069.15
2024-03,Thums Up Mineral Water 1L,48311.55
2024-03,Thums Up Mineral Water 2L,40954.55
2024-03,Thums Up Mineral Water 600ml,36920.41
2024-03,Thums Up Soda 1L,30664.10
2024-03,Thums Up Tea Leaf 250g,43020.67
2024-03,Thums Up Tea Leaf 500g,23836.54
2024-03,Unibic Cookies 100g,4970.55
2024-03,Unibic Cookies 60g,11972.86
2024-03,Unibic Cream Biscuit 150g,4924.35
2024-03,Unibic Cream Biscuit 60g,1424.49
2024-03,Unibic Glucose Biscuit 150g,2595.30
2024-03,Unibic Glucose Biscuit 400g,4739.28
2024-03,Unibic Khakhra 150g,6443.85
2024-03,Unibic Khakhra 60g,13638.17
2024-03,Unibic Marie Gold 250g,9310.95
2024-03,Unibic Marie Gold 400g,2249.10
2024-03,Unibic Marie Gold 60g,12229.35
2024-03,Unibic Namkeen Mix 150g,10471.93
2024-03,Vim Detergent Powder 500g,76269.87
2024-03,Vim Detergent Powder 500ml,22280.70
2024-03,Vim Dishwash Bar 1kg,11777.22
2024-03,Vim Dishwash Bar 500g,26374.14
2024-03,Vim Dishwash Bar 500ml,25698.26
2024-03,Vim Fabric Conditioner 200g,26051.55
2024-03,Vim Toilet Cleaner 1kg,31760.40
2024-03,Vim Toilet Cleaner 500ml,57174.74
2024-03,iD Fresh French Fries 1kg,54680.18
2024-03,iD Fresh French Fries 200g,108015.91
2024-03,iD Fresh French Fries 400g,54155.41
2024-03,iD Fresh Frozen Peas 1kg,92776.80
2024-03,iD Fresh Frozen Peas 200g,6905.25
2024-03,iD Fresh Frozen Peas 400g,28032.18
2024-03,iD Fresh Idli Batter 1kg,20140.92
2024-03,iD Fresh Idli Batter 200g,23341.85
2024-03,iD Fresh Idli Batter 400g,41676.60
2024-03,iD Fresh Ready Paratha 1kg,36110.54
2024-03,iD Fresh Ready Paratha 200g,54177.30
2024-03,iD Fresh Ready Paratha 400g,20168.80
2024-11,24 Mantra Basmati Rice 5kg,70763.24
2024-11,24 Mantra Chana Dal 1kg,26303.01
2024-11,24 Mantra Chana Dal 5kg,51253.20
2024-11,24 Mantra Poha 10kg,129126.02
2024-11,24 Mantra Poha 5kg,197048.30
2024-11,24 Mantra Sona Masoori Rice 10kg,95185.53
2024-11,24 Mantra Sona Masoori Rice 5kg,168642.89
2024-11,24 Mantra Toor Dal 10kg,199893.50
2024-11,24 Mantra Whole Wheat Atta 1kg,264297.98
2024-11,Aachi Chilli Powder 100g,4140.32
2024-11,Aachi Chilli Powder 200g,41057.98
2024-11,Aachi Chilli Powder 50g,15564.54
2024-11,Aachi Coriander Powder 200g,45003.90
2024-11,Aachi Coriander Powder 50g,54964.05
2024-11,Aachi Sambar Powder 100g,26121.60
2024-11,Aachi Sambar Powder 500g,116081.61
2024-11,Aachi Sambar Powder 50g,6588.54
2024-11,Aachi Turmeric Powder 500g,28909.81
2024-11,Aachi Turmeric Powder 50g,34036.28
2024-11,Aashirvaad Basmati Rice 10kg,100706.22
2024-11,Aashirvaad Basmati Rice 5kg,20980.05
2024-11,Aashirvaad Chana Dal 10kg,126610.48
2024-11,Aashirvaad Chana Dal 1kg,175385.71
2024-11,Aashirvaad Poha 5kg,192800.40
2024-11,Aashirvaad Sona Masoori Rice 10kg,497564.53
2024-11,Aashirvaad Sona Masoori Rice 1kg,134379.60
2024-11,Aashirvaad Toor Dal 10kg,235753.35
2024-11,Aashirvaad Toor Dal 1kg,399640.58
2024-11,Aashirvaad Whole Wheat Atta 10kg,23311.68
2024-11,Aashirvaad Whole Wheat Atta 1kg,452950.31
2024-11,Aashirvaad Whole Wheat Atta 5kg,106572.90
2024-11,Amul Butter 200g,40399.76
2024-11,Amul Butter 500g,138567.24
2024-11,Amul Cheese Slices 1L,69668.72
2024-11,Amul Cheese Slices 200g,19443.31
2024-11,Amul Cheese Slices 500g,29332.48
2024-11,Amul Choco Candy Pack 25g,22849.68
2024-11,Amul Choco Candy Pack 50g,22225.28
2024-11,Amul Choco Candy Pack Pack of 10,20786.92
2024-11,Amul Choco Chewing Gum 25g,57089.06
2024-11,Amul Choco Chewing Gum 50g,5167.76
2024-11,Amul Choco Chewing Gum Pack of 10,24281.31
2024-11,Amul Choco Milk Chocolate 100g,30302.00
2024-11,Amul Choco Milk Chocolate 25g,35178.99
2024-11,Amul Choco Milk Chocolate 50g,83576.02
2024-11,Amul Choco Milk Chocolate Pack of 10,68530.02
2024-11,Amul Curd 1L,22480.70
2024-11,Amul Curd 500ml,150374.50
2024-11,Amul Ghee 1L,17030.73
2024-11,Amul Ghee 200g,4644.48
2024-11,Amul Ghee 200ml,30227.25
2024-11,Amul Ghee 500ml,12438.00
2024-11,Amul Paneer 1L,30388.92
2024-11,Amul Paneer 200g,118808.32
2024-11,Amul Paneer 500g,56842.75
2024-11,Amul Toned Milk 1L,38950.78
2024-11,Anmol Cookies 150g,1444.32
2024-11,Anmol Cookies 400g,1282.85
2024-11,Anmol Cream Biscuit 100g,5439.00
2024-11,Anmol Cream Biscuit 150g,7467.72
2024-11,Anmol Cream Biscuit 250g,24980.33
2024-11,Anmol Cream Biscuit 400g,1721.44
2024-11,Anmol Cream Biscuit 60g,10038.72
2024-11,Anmol Glucose Biscuit 100g,2292.64
2024-11,Anmol Glucose Biscuit 250g,9168.82
2024-11,Anmol Khakhra 60g,6195.51
2024-11,Anmol Namkeen Mix 150g,13336.81
2024-11,Anmol Namkeen Mix 60g,9794.89
2024-11,Bikano Cookies 250g,9283.38
2024-11,Bikano Cookies 400g,11244.53
2024-11,Bikano Cookies 60g,8664.48
2024-11,Bikano Glucose Biscuit 250g,22181.99
2024-11,Bikano Khakhra 100g,5829.80
2024-11,Bikano Khakhra 400g,21975.68
2024-11,Bikano Marie Gold 60g,7613.32
2024-11,Bikano Namkeen Mix 100g,5729.84
2024-11,Bikano Namkeen Mix 150g,2293.31
2024-11,Bikano Namkeen Mix 250g,15455.64
2024-11,Bikano Namkeen Mix 400g,15447.04
2024-11,Bisleri Cola 250g,41171.01
2024-11,Bisleri Cola 2L,20553.60
2024-11,Bisleri Cola 500g,7209.02
2024-11,Bisleri Mango Juice 250g,49612.04
2024-11,Bisleri Mineral Water 1L,64966.08
2024-11,Bisleri Mineral Water 2L,95464.44
2024-11,Bisleri Mineral Water 600ml,12499.20
2024-11,Bisleri Soda 1L,36237.24
2024-11,Bisleri Soda 500g,51906.93
2024-11,Bisleri Tea Leaf 1L,3406.80
2024-11,Bisleri Tea Leaf 250g,35648.11
2024-11,Britannia Cookies 150g,1948.36
2024-11,Britannia Cream Biscuit 60g,10822.01
2024-11,Britannia Glucose Biscuit 100g,15542.02
2024-11,Britannia Glucose Biscuit 250g,12279.40
2024-11,Britannia Glucose Biscuit 400g,5602.54
2024-11,Britannia Glucose Biscuit 60g,3895.20
2024-11,Britannia Khakhra 100g,13934.84
2024-11,Britannia Khakhra 250g,4674.80
2024-11,Britannia Khakhra 400g,1410.75
2024-11,Britannia Marie Gold 400g,15446.83
2024-11,Bru Cola 600ml,14222.88
2024-11,Bru Mango Juice 250g,47306.64
2024-11,Bru Mango Juice 500g,39943.98
2024-11,Bru Mango Juice 600ml,5905.12
2024-11,Bru Mineral Water 250g,55648.89
2024-11,Bru Mineral Water 500g,29412.46
2024-11,Bru Soda 2L,49509.60
2024-11,Bru Soda 500g,9012.21
2024-11,Bru Soda 600ml,25836.57
2024-11,Cadbury Candy Pack 25g,85743.17
2024-11,Cadbury Candy Pack 50g,60942.27
2024-11,Cadbury Candy Pack Pack of 10,17884.88
2024-11,Cadbury Chewing Gum 25g,29714.58
2024-11,Cadbury Chewing Gum 50g,63220.82
2024-11,Cadbury Dark Chocolate 100g,59309.93
2024-11,Cadbury Dark Chocolate 25g,32903.16
2024-11,Cadbury Dark Chocolate 50g,19615.70
2024-11,Cadbury Milk Chocolate 25g,21989.16
2024-11,Cadbury Milk Chocolate 50g,61633.20
2024-11,Cadbury Milk Chocolate Pack of 10,27488.32
2024-11,Camlin A4 Paper Ream 1 pc,8270.00
2024-11,Camlin A4 Paper Ream 500 sheets,27366.56
2024-11,Camlin A4 Paper Ream Pack of 5,28423.04
2024-11,Camlin Ball Pen Pack of 5,110735.76
2024-11,Camlin Notebook 500 sheets,100465.45
2024-11,Camlin Notebook Pack of 5,92440.43
2024-11,Camlin Pencil Box 1 pc,47462.38
2024-11,Camlin Pencil Box 500 sheets,16199.36
2024-11,Camlin Pencil Box Pack of 5,77820.41
2024-11,Catch Chilli Powder 200g,36617.85
2024-11,Catch Chilli Powder 500g,9912.30
2024-11,Catch Coriander Powder 200g,9737.05
2024-11,Catch Garam Masala 100g,6727.52
2024-11,Catch Sambar Powder 100g,20004.25
2024-11,Catch Sambar Powder 200g,37631.76
2024-11,Catch Sambar Powder 500g,7183.36
2024-11,Catch Turmeric Powder 200g,26635.06
2024-11,Catch Turmeric Powder 500g,70527.77
2024-11,Cello A4 Paper Ream 1 pc,53444.99
2024-11,Cello A4 Paper Ream 500 sheets,53438.52
2024-11,Cello A4 Paper Ream Pack of 5,65592.90
2024-11,Cello Ball Pen 1 pc,71477.74
2024-11,Cello Ball Pen 500 sheets,21498.02
2024-11,Cello Ball Pen Pack of 5,41699.82
2024-11,Cello Notebook 1 pc,44805.60
2024-11,Cello Notebook 500 sheets,59138.20
2024-11,Cello Notebook Pack of 5,96393.96
2024-11,Cello Pencil Box 1 pc,32281.82
2024-11,Cello Pencil Box 500 sheets,85945.54
2024-11,Cello Pencil Box Pack of 5,110189.88
2024-11,Classmate A4 Paper Ream 500 sheets,34487.10
2024-11,Classmate A4 Paper Ream Pack of 5,31797.21
2024-11,Classmate Ball Pen 1 pc,97379.76
2024-11,Classmate Ball Pen 500 sheets,41538.50
2024-11,Classmate Ball Pen Pack of 5,104996.62
2024-11,Classmate Notebook 1 pc,77346.81
2024-11,Classmate Notebook 500 sheets,35811.08
2024-11,Classmate Notebook Pack of 5,101173.83
2024-11,Classmate Pencil Box 1 pc,28595.60
2024-11,Classmate Pencil Box 500 sheets,118976.70
2024-11,Classmate Pencil Box Pack of 5,18322.65
2024-11,Colgate Bathing Soap 75g,111956.98
2024-11,Colgate Body Lotion 180ml,8288.37
2024-11,Colgate Body Lotion 340ml,138994.70
2024-11,Colgate Body Lotion 75g,28943.20
2024-11,Colgate Face Wash 180ml,54136.81
2024-11,Colgate Face Wash 75g,15958.82
2024-11,Colgate Hair Oil 100g,55362.28
2024-11,Colgate Hair Oil 180ml,33991.70
2024-11,Colgate Shampoo 100g,180056.29
2024-11,Colgate Shampoo 180ml,152946.62
2024-11,Colgate Shampoo 340ml,6213.00
2024-11,Comfort Detergent Powder 1kg,17731.03
2024-11,Comfort Detergent Powder 200g,32078.93
2024-11,Comfort Detergent Powder 500ml,159466.51
2024-11,Comfort Dishwash Bar 1kg,10248.84
2024-11,Comfort Dishwash Bar 500g,70157.50
2024-11,Comfort Dishwash Bar 500ml,69485.34
2024-11,Comfort Fabric Conditioner 1kg,25540.48
2024-11,Comfort Fabric Conditioner 200g,33503.60
2024-11,Comfort Fabric Conditioner 500ml,110617.29
2024-11,Comfort Floor Cleaner 500g,70276.56
2024-11,Comfort Toilet Cleaner 200g,187614.93
2024-11,Comfort Toilet Cleaner 500ml,51945.30
2024-11,Daawat Basmati Rice 10kg,29226.14
2024-11,Daawat Basmati Rice 1kg,373394.70
2024-11,Daawat Basmati Rice 5kg,111208.56
2024-11,Daawat Chana Dal 10kg,74774.40
2024-11,Daawat Chana Dal 1kg,199533.06
2024-11,Daawat Chana Dal 5kg,223696.01
2024-11,Daawat Poha 10kg,226119.10
2024-11,Daawat Sona Masoori Rice 10kg,138948.90
2024-11,Daawat Sona Masoori Rice 1kg,531191.28
2024-11,Daawat Toor Dal 5kg,405779.99
2024-11,Daawat Whole Wheat Atta 1kg,36652.17
2024-11,Dhara Groundnut Oil 1L,490058.66
2024-11,Dhara Groundnut Oil 5L,69280.38
2024-11,Dhara Mustard Oil 1L,87466.02
2024-11,Dhara Mustard Oil 2L,273468.26
2024-11,Dhara Mustard Oil 5L,315884.31
2024-11,Dhara Rice Bran Oil 1L,135940.94
2024-11,Dhara Rice Bran Oil 5L,108710.89
2024-11,Dhara Sunflower Oil 1L,61295.89
2024-11,Dhara Sunflower Oil 2L,217889.15
2024-11,Dhara Sunflower Oil 5L,164446.92
2024-11,Dove Bathing Soap 180ml,11462.85
2024-11,Dove Bathing Soap 340ml,86040.40
2024-11,Dove Body Lotion 340ml,118001.34
2024-11,Dove Hair Oil 340ml,83183.73
2024-11,Dove Hair Oil 75g,104755.21
2024-11,Dove Toothpaste 100g,74022.72
2024-11,Dove Toothpaste 180ml,116027.08
2024-11,Eastern Chilli Powder 50g,61018.11
2024-11,Eastern Coriander Powder 100g,9180.83
2024-11,Eastern Coriander Powder 500g,42339.01
2024-11,Eastern Coriander Powder 50g,39736.98
2024-11,Eastern Garam Masala 200g,59520.93
2024-11,Eastern Garam Masala 500g,47292.81
2024-11,Eastern Sambar Powder 100g,36014.08
2024-11,Eastern Sambar Powder 200g,11653.02
2024-11,Eastern Sambar Powder 500g,13298.57
2024-11,Eastern Sambar Powder 50g,27087.75
2024-11,Eastern Turmeric Powder 100g,17764.42
2024-11,Eastern Turmeric Powder 200g,62995.92
2024-11,Eastern Turmeric Powder 500g,37539.88
2024-11,Eastern Turmeric Powder 50g,56942.46
2024-11,English Oven Muffin 6 pc,22679.15
2024-11,English Oven Muffin Pack of 2,43090.95
2024-11,English Oven Pav Bun 400g,52218.01
2024-11,English Oven Pav Bun 6 pc,60380.86
2024-11,English Oven Pav Bun Pack of 2,16423.68
2024-11,English Oven Rusk 400g,42978.60
2024-11,English Oven Rusk 6 pc,28615.31
2024-11,English Oven Rusk Pack of 2,9677.50
2024-11,English Oven Sandwich Bread 400g,38261.70
2024-11,English Oven Sandwich Bread Pack of 2,21951.67
2024-11,Everest Chilli Powder 100g,21287.20
2024-11,Everest Chilli Powder 200g,49942.08
2024-11,Everest Chilli Powder 50g,26317.50
2024-11,Everest Coriander Powder 500g,12446.50
2024-11,Everest Coriander Powder 50g,49197.12
2024-11,Everest Garam Masala 200g,38750.40
2024-11,Everest Garam Masala 500g,60552.93
2024-11,Everest Garam Masala 50g,5077.25
2024-11,Everest Sambar Powder 100g,40394.48
2024-11,Everest Sambar Powder 200g,54095.92
2024-11,Everest Sambar Powder 50g,33551.73
2024-11,Everest Turmeric Powder 200g,26823.94
2024-11,Farm Fresh Apple 1kg,39354.86
2024-11,Farm Fresh Apple 500g,22882.96
2024-11,Farm Fresh Apple Loose,100632.66
2024-11,Farm Fresh Banana 1kg,30403.30
2024-11,Farm Fresh Banana 500g,32374.12
2024-11,Farm Fresh Banana Loose,31201.38
2024-11,Farm Fresh Carrot 1kg,16846.83
2024-11,Farm Fresh Carrot 500g,24160.76
2024-11,Farm Fresh Onion 1kg,25912.95
2024-11,Farm Fresh Onion 500g,21012.32
2024-11,Farm Fresh Onion Loose,24157.17
2024-11,Farm Fresh Potato 1kg,21569.55
2024-11,Farm Fresh Potato 500g,45222.39
2024-11,Farm Fresh Tomato 1kg,21966.10
2024-11,Farm Fresh Tomato 500g,16735.94
2024-11,Farm Fresh Tomato Loose,43572.00
2024-11,Fortune Basmati Rice 10kg,206666.41
2024-11,Fortune Basmati Rice 1kg,199240.04
2024-11,Fortune Chana Dal 5kg,160054.83
2024-11,Fortune Groundnut Oil 5L,27393.88
2024-11,Fortune Mustard Oil 2L,70959.36
2024-11,Fortune Mustard Oil 5L,170177.76
2024-11,Fortune Poha 1kg,41209.36
2024-11,Fortune Poha 5kg,172190.33
2024-11,Fortune Rice Bran Oil 2L,108539.54
2024-11,Fortune Rice Bran Oil 5L,125005.86
2024-11,Fortune Sona Masoori Rice 1kg,407998.59
2024-11,Fortune Sunflower Oil 2L,21479.04
2024-11,Fortune Sunflower Oil 5L,174561.44
2024-11,Fortune Toor Dal 10kg,248227.76
2024-11,Fortune Toor Dal 5kg,302135.80
2024-11,Fortune Whole Wheat Atta 1kg,122105.27
2024-11,Fortune Whole Wheat Atta 5kg,40735.20
2024-11,Gold Winner Groundnut Oil 1L,136699.42
2024-11,Gold Winner Groundnut Oil 2L,151101.57
2024-11,Gold Winner Groundnut Oil 5L,246139.97
2024-11,Gold Winner Mustard Oil 1L,243171.30
2024-11,Gold Winner Mustard Oil 2L,104280.48
2024-11,Gold Winner Mustard Oil 5L,156536.84
2024-11,Gold Winner Rice Bran Oil 1L,540013.32
2024-11,Gold Winner Rice Bran Oil 2L,212304.88
2024-11,Gold Winner Sunflower Oil 1L,102987.90
2024-11,Gold Winner Sunflower Oil 2L,108009.00
2024-11,Harpic Detergent Powder 1kg,18906.90
2024-11,Harpic Detergent Powder 200g,16070.05
2024-11,Harpic Dishwash Bar 1kg,54579.11
2024-11,Harpic Dishwash Bar 200g,52778.54
2024-11,Harpic Dishwash Bar 500g,54210.48
2024-11,Harpic Fabric Conditioner 1kg,6732.00
2024-11,Harpic Fabric Conditioner 200g,80047.02
2024-11,Harpic Fabric Conditioner 500g,82430.26
2024-11,Harpic Fabric Conditioner 500ml,165067.23
2024-11,Harpic Floor Cleaner 200g,46766.63
2024-11,Harpic Floor Cleaner 500ml,26746.42
2024-11,Harpic Toilet Cleaner 1kg,43978.77
2024-11,Harvest Gold Muffin 400g,14441.99
2024-11,Harvest Gold Muffin 6 pc,8920.31
2024-11,Harvest Gold Muffin Pack of 2,10974.00
2024-11,Harvest Gold Pav Bun 400g,13508.40
2024-11,Harvest Gold Pav Bun 6 pc,13045.14
2024-11,Harvest Gold Pav Bun Pack of 2,38611.11
2024-11,Harvest Gold Rusk 400g,7467.04
2024-11,Harvest Gold Rusk 6 pc,16845.62
2024-11,Harvest Gold Rusk Pack of 2,41782.84
2024-11,Harvest Gold Sandwich Bread 6 pc,63694.70
2024-11,Harvest Gold Sandwich Bread Pack of 2,20210.32
2024-11,Heritage Butter 1L,11212.04
2024-11,Heritage Butter 200g,25571.84
2024-11,Heritage Cheese Slices 200g,18510.96
2024-11,Heritage Cheese Slices 200ml,3433.22
2024-11,Heritage Cheese Slices 500g,65389.20
2024-11,Heritage Cheese Slices 500ml,24129.16
2024-11,Heritage Curd 1L,38174.40
2024-11,Heritage Ghee 1L,29856.02
2024-11,Heritage Ghee 500g,71906.90
2024-11,Heritage Ghee 500ml,20675.60
2024-11,Heritage Paneer 1L,12827.85
2024-11,Heritage Paneer 200ml,28204.80
2024-11,Heritage Toned Milk 200g,52394.51
2024-11,Heritage Toned Milk 500g,77081.60
2024-11,Himalaya Bathing Soap 75g,61875.84
2024-11,Himalaya Body Lotion 100g,105653.22
2024-11,Himalaya Body Lotion 180ml,24623.28
2024-11,Himalaya Face Wash 340ml,60476.40
2024-11,Himalaya Face Wash 75g,60110.79
2024-11,Himalaya Hair Oil 340ml,178240.12
2024-11,Himalaya Shampoo 180ml,42887.88
2024-11,Himalaya Toothpaste 100g,122506.99
2024-11,Himalaya Toothpaste 180ml,131898.62
2024-11,Himalaya Toothpaste 75g,116761.95
2024-11,Huggies Baby Powder Medium,275752.64
2024-11,Huggies Baby Powder Small,229943.92
2024-11,Huggies Baby Soap Large,136077.75
2024-11,Huggies Baby Soap Medium,75812.01
2024-11,Huggies Baby Wipes Large,132293.74
2024-11,Huggies Baby Wipes Small,90203.36
2024-11,Huggies Baby Wipes XL,204990.30
2024-11,Huggies Diapers Small,583708.60
2024-11,ITC Master Chef French Fries 400g,25731.24
2024-11,ITC Master Chef Frozen Peas 1kg,125472.17
2024-11,ITC Master Chef Frozen Peas 200g,85490.63
2024-11,ITC Master Chef Frozen Peas 400g,40000.87
2024-11,ITC Master Chef Idli Batter 1kg,21151.20
2024-11,ITC Master Chef Idli Batter 200g,45519.32
2024-11,ITC Master Chef Idli Batter 400g,44570.16
2024-11,ITC Master Chef Ready Paratha 1kg,36094.35
2024-11,ITC Master Chef Ready Paratha 200g,14523.60
2024-11,ITC Master Chef Ready Paratha 400g,120315.35
2024-11,India Gate Basmati Rice 5kg,230475.02
2024-11,India Gate Chana Dal 10kg,113056.57
2024-11,India Gate Chana Dal 5kg,158521.44
2024-11,India Gate Poha 10kg,213946.02
2024-11,India Gate Sona Masoori Rice 1kg,118845.00
2024-11,India Gate Toor Dal 10kg,127035.45
2024-11,India Gate Toor Dal 1kg,108825.21
2024-11,India Gate Toor Dal 5kg,187095.11
2024-11,India Gate Whole Wheat Atta 10kg,136707.10
2024-11,India Gate Whole Wheat Atta 1kg,197957.77
2024-11,India Gate Whole Wheat Atta 5kg,295454.42
2024-11,Johnson's Baby Powder Large,208920.33
2024-11,Johnson's Baby Powder Small,55063.26
2024-11,Johnson's Baby Powder XL,130869.69
2024-11,Johnson's Baby Soap Small,102981.92
2024-11,Johnson's Baby Wipes Large,51667.38
2024-11,Johnson's Baby Wipes Medium,141216.25
2024-11,Johnson's Baby Wipes Small,99547.72
2024-11,Johnson's Diapers Large,97411.70
2024-11,Lizol Detergent Powder 200g,81439.47
2024-11,Lizol Detergent Powder 500g,15231.66
2024-11,Lizol Dishwash Bar 500ml,54189.89
